Id,SalePrice
1461,126182.33
1462,164675.64
1463,185435.69
1464,185727.47
1465,188609.67
1466,172498.31
1467,174627.31
1468,174374.22
1469,191403.66
1470,124658.26
1471,198342.27
1472,93091.695
1473,96832.59
1474,151456.34
1475,140768.52
1476,377983.88
1477,255237.6
1478,314325.5
1479,200227.39
1480,509647.72
1481,305912.25
1482,202685.9
1483,167408.27
1484,174088.47
1485,169716.86
1486,194630.0
1487,300839.25
1488,241776.03
1489,217222.55
1490,202846.8
1491,184268.23
1492,95285.664
1493,197032.16
1494,286340.56
1495,280588.03
1496,227511.34
1497,183099.11
1498,161094.7
1499,151656.28
1500,148484.78
1501,181550.33
1502,156951.38
1503,287867.78
1504,218423.45
1505,226466.33
1506,182514.94
1507,245268.94
1508,208737.3
1509,162369.9
1510,149555.73
1511,151511.53
1512,167717.11
1513,158527.39
1514,159287.12
1515,197471.0
1516,159938.69
1517,163623.83
1518,128103.42
1519,230006.97
1520,137088.98
1521,144457.4
1522,169600.73
1523,110305.21
1524,124448.81
1525,127130.79
1526,117635.195
1527,106863.1
1528,128059.555
1529,148993.81
1530,169838.47
1531,128262.19
1532,98745.89
1533,143049.28
1534,117332.77
1535,156286.45
1536,113604.16
1537,75561.88
1538,185912.98
1539,196067.31
1540,97495.875
1541,150718.86
1542,146634.8
1543,223124.67
1544,74160.52
1545,104711.34
1546,130083.2
1547,139370.94
1548,131540.69
1549,125271.42
1550,146664.84
1551,100993.234
1552,145411.53
1553,148999.47
1554,120436.86
1555,178248.72
1556,98789.89
1557,122554.92
1558,93186.555
1559,92039.14
1560,129621.4
1561,149171.94
1562,129340.86
1563,121945.38
1564,154804.53
1565,143980.33
1566,233620.34
1567,76678.01
1568,229033.75
1569,148169.11
1570,129177.66
1571,126824.086
1572,144810.66
1573,244074.2
1574,102516.17
1575,213303.58
1576,234310.19
1577,200853.44
1578,156877.47
1579,139371.56
1580,189799.5
1581,149968.45
1582,126624.57
1583,339342.6
1584,231365.62
1585,140103.08
1586,73429.945
1587,97755.11
1588,155281.38
1589,94253.47
1590,136689.9
1591,100665.99
1592,123832.13
1593,125731.64
1594,130023.81
1595,108944.484
1596,245748.45
1597,180467.19
1598,194713.34
1599,185938.89
1600,180566.5
1601,61705.406
1602,112524.4
1603,93212.39
1604,267817.56
1605,239160.88
1606,166255.9
1607,171658.69
1608,214306.92
1609,201013.38
1610,164023.27
1611,140324.81
1612,165335.97
1613,152700.58
1614,116412.266
1615,89676.65
1616,73880.81
1617,91256.16
1618,129271.99
1619,139339.75
1620,143772.31
1621,142780.7
1622,141287.52
1623,312485.0
1624,214480.92
1625,124628.23
1626,166989.89
1627,187532.92
1628,286282.72
1629,179136.73
1630,395651.16
1631,225571.81
1632,238611.97
1633,167628.44
1634,188795.98
1635,180670.3
1636,155308.72
1637,178753.77
1638,206943.58
1639,177976.67
1640,261564.14
1641,175650.12
1642,233256.69
1643,210362.4
1644,224275.25
1645,208392.64
1646,155260.34
1647,160985.75
1648,135230.16
1649,138460.11
1650,109497.42
1651,121016.63
1652,93352.93
1653,101169.82
1654,149583.58
1655,155938.03
1656,148238.73
1657,150891.62
1658,149287.72
1659,146286.64
1660,156113.42
1661,469441.8
1662,408123.44
1663,378838.84
1664,380792.53
1665,319928.75
1666,299834.1
1667,333579.8
1668,337484.62
1669,317555.38
1670,335479.78
1671,262809.28
1672,496721.4
1673,301716.8
1674,254998.48
1675,188440.94
1676,195661.73
1677,225219.53
1678,477866.5
1679,400081.34
1680,335034.78
1681,257573.92
1682,311622.44
1683,174531.83
1684,169514.61
1685,179393.06
1686,166304.1
1687,164174.2
1688,180787.86
1689,185758.78
1690,186802.8
1691,176743.2
1692,277176.8
1693,165278.98
1694,189357.02
1695,166594.38
1696,267393.94
1697,181637.03
1698,392075.56
1699,323031.88
1700,253915.1
1701,263589.06
1702,250791.44
1703,252865.77
1704,284055.3
1705,221968.97
1706,477880.88
1707,225122.38
1708,214138.53
1709,274239.88
1710,211373.73
1711,251994.4
1712,220732.86
1713,268528.12
1714,220864.72
1715,208259.06
1716,184072.2
1717,166334.62
1718,131301.33
1719,187087.72
1720,249714.14
1721,160991.16
1722,131458.62
1723,155853.75
1724,206960.27
1725,224694.06
1726,193806.16
1727,159758.83
1728,178495.61
1729,170630.58
1730,160018.64
1731,118255.37
1732,134998.36
1733,119464.766
1734,119841.52
1735,130374.695
1736,115857.94
1737,330073.78
1738,221719.98
1739,273168.16
1740,212525.94
1741,193279.17
1742,175455.02
1743,174743.28
1744,283463.34
1745,243810.47
1746,242793.1
1747,214965.55
1748,229412.28
1749,159190.88
1750,128212.8
1751,238421.27
1752,118017.99
1753,132875.9
1754,205701.73
1755,166902.94
1756,130437.516
1757,124347.17
1758,150713.75
1759,163467.72
1760,164438.2
1761,143120.81
1762,172088.53
1763,179151.08
1764,111794.88
1765,160448.45
1766,168376.17
1767,210977.75
1768,145086.48
1769,160058.55
1770,142627.16
1771,132981.39
1772,136418.77
1773,144901.05
1774,122276.06
1775,139198.78
1776,124767.15
1777,122098.06
1778,140942.11
1779,111761.38
1780,174140.22
1781,136096.81
1782,88008.16
1783,131903.66
1784,104575.93
1785,118608.26
1786,147796.0
1787,164448.62
1788,54485.453
1789,92813.445
1790,88434.83
1791,167175.39
1792,156278.11
1793,127567.945
1794,142481.88
1795,139065.64
1796,119189.47
1797,109693.95
1798,128303.836
1799,122633.37
1800,126081.4
1801,131716.78
1802,152357.83
1803,142776.14
1804,143868.31
1805,131711.89
1806,110194.555
1807,135658.17
1808,112952.17
1809,116062.31
1810,152243.05
1811,116018.945
1812,109684.914
1813,129288.95
1814,103254.33
1815,51987.62
1816,104249.086
1817,120732.17
1818,128505.46
1819,112108.74
1820,63945.855
1821,116994.1
1822,158836.92
1823,36805.383
1824,146122.12
1825,128204.01
1826,101529.32
1827,104613.82
1828,133174.66
1829,115179.336
1830,142165.5
1831,161662.36
1832,92771.305
1833,139930.05
1834,117914.12
1835,145765.19
1836,121937.65
1837,91079.05
1838,132488.19
1839,83235.38
1840,178782.05
1841,145533.05
1842,78118.984
1843,133545.9
1844,139400.98
1845,140954.1
1846,149911.78
1847,152188.16
1848,52837.402
1849,118701.04
1850,121928.59
1851,155979.5
1852,127669.586
1853,126314.15
1854,171649.81
1855,145709.86
1856,219300.08
1857,155928.39
1858,139444.7
1859,119795.12
1860,157552.92
1861,119796.38
1862,255672.2
1863,249628.6
1864,249610.77
1865,340985.22
1866,323891.12
1867,243943.92
1868,313710.56
1869,211038.3
1870,246543.77
1871,257649.72
1872,165031.61
1873,234059.83
1874,138448.92
1875,191699.28
1876,195206.16
1877,207323.28
1878,206272.3
1879,137871.0
1880,134993.55
1881,231794.89
1882,247431.55
1883,198812.8
1884,210184.81
1885,259901.48
1886,312299.7
1887,206071.62
1888,261320.36
1889,153384.62
1890,130833.65
1891,141342.78
1892,103458.08
1893,128102.29
1894,119080.08
1895,139787.0
1896,126470.01
1897,120936.68
1898,116061.38
1899,154058.89
1900,150198.58
1901,178417.48
1902,133537.72
1903,220425.84
1904,155294.39
1905,205159.89
1906,176763.1
1907,218313.19
1908,119344.12
1909,135882.45
1910,123427.97
1911,219179.42
1912,249609.58
1913,148751.2
1914,55500.32
1915,307741.3
1916,72943.79
1917,261500.78
1918,142728.1
1919,167599.44
1920,147930.73
1921,420629.16
1922,316089.44
1923,219675.66
1924,217926.89
1925,204556.25
1926,387329.7
1927,133460.45
1928,155240.05
1929,124343.23
1930,124660.97
1931,137974.14
1932,138238.05
1933,184015.53
1934,183007.92
1935,179650.78
1936,191648.31
1937,186638.67
1938,172511.2
1939,234785.5
1940,182781.02
1941,176881.62
1942,199097.69
1943,212627.22
1944,329694.34
1945,397750.6
1946,165959.19
1947,314910.53
1948,170963.1
1949,247741.73
1950,178272.9
1951,276390.2
1952,238263.17
1953,171239.86
1954,177768.08
1955,126014.37
1956,275495.97
1957,159035.69
1958,316387.25
1959,135971.31
1960,119544.78
1961,121508.58
1962,94477.25
1963,114500.195
1964,111373.875
1965,154507.73
1966,156298.55
1967,310955.0
1968,434390.75
1969,411292.34
1970,472182.2
1971,486352.66
1972,364212.97
1973,270072.72
1974,315899.72
1975,393367.0
1976,283092.5
1977,332307.28
1978,403706.78
1979,336499.53
1980,198397.58
1981,340351.25
1982,250071.14
1983,209255.36
1984,160917.31
1985,205190.31
1986,212044.62
1987,190813.81
1988,180710.92
1989,187035.55
1990,222950.0
1991,275949.34
1992,222916.94
1993,163230.27
1994,232129.16
1995,178009.98
1996,243418.83
1997,320895.22
1998,295415.7
1999,267555.47
2000,311650.2
2001,260954.11
2002,237210.22
2003,239034.62
2004,250895.28
2005,220233.67
2006,219467.97
2007,247202.9
2008,215641.1
2009,187577.84
2010,180229.3
2011,143041.83
2012,170347.03
2013,187214.42
2014,185367.0
2015,202538.89
2016,198745.55
2017,201358.84
2018,117574.53
2019,131704.19
2020,109705.44
2021,114007.03
2022,177218.7
2023,139425.55
2024,222731.12
2025,382733.0
2026,176710.22
2027,151389.38
2028,144497.58
2029,180501.84
2030,273238.7
2031,243407.16
2032,268914.6
2033,270555.9
2034,156690.7
2035,211671.42
2036,182986.31
2037,204762.53
2038,330602.06
2039,222097.67
2040,394519.88
2041,278340.4
2042,202888.84
2043,161530.86
2044,170483.81
2045,201685.6
2046,130863.484
2047,147852.44
2048,135557.22
2049,129969.72
2050,180074.83
2051,105278.4
2052,138369.92
2053,147361.28
2054,84546.89
2055,156709.92
2056,130911.91
2057,124191.13
2058,240892.69
2059,123330.9
